name,bikes,stands
227_CALLE_SAN_CLEMENTE_ENTRA_HOSPITAL_ARNAU_VILANO,6,14
024_CALLE LEÓN XIII,1,14
038_CALLE DE INCA GARCILASO,26,13
097-SAINT DONATIEN,6,14
EUROPARK - POBREŠKA C.,16,4
232_SAN_VICENTE_DE_PAUL_SANTIAGO_RUSIÑOL,11,4
100 - GARE DE LUXEMBOURG/LUXEMBURGSTATION,32,11
169_PAVIA 4,12,8
10021 - GRANDCLÉMENT,2,16
203_CALLE TESALÓNICA,12,6
22 - LIBERTE,3,9
00001 - DOMINICAINS - FOURIER (CB),10,15
058 - GARE DU NORD / NOORDSTATION,12,30
030-COMMERCE,13,19
TRŽNICA MOSTE,6,15
7023 - BERTHELOT / ROUTE DE VIENNE,2,13
6044 - CHARMETTES / BELLECOMBE,1,15
00033 - LAXOU MAIRIE (CB),4,11
234 - ST DENIS / ST DENIJS,11,14
056-VINCENT GACHE,9,6
3008 - INSTITUT LUMIERE,2,16
53101 - SOA01 - PLACE CARNOT (CB),9,10
#00001-LEON XIII,18,2
00115 - DEMOISELLES - MISTRAL,11,7
024 - SAINT-AUBAIN,10,5
#00014-KNUEDLER,9,10
CUSTOM HOUSE,29,1
23 - RIVOTTE,10,2
00221 - VAUQUELIN,7,13
17 - PLACE DE LA REUNION,1,27
269 - CICERON,13,11
49_C/ RICARDO MUÑOZ SUAY,12,13
319 - ANCIENNE BARRIERE/OUDE AFSPANNING,9,11
195_CALLE CORRAL DEL AGUA,4,15
121_C_MURTA,13,2
00128 - PRISON SAINT-MICHEL,15,8
3040 - FAURE / DANTON,7,28
STROSSMAYERJEVA UL. - TRŽNICA,8,11
110-AUDITORIUM,4,16
8042 - FRANCIS DE PRESSENSÉ,12,10
256 - VAN OVERBEKE,9,15
9044 - MASSET / SAINT-PIERRE DE VAISE,16,0
20 - FILATURE,7,5
GRUDNOVO NABREŽJE-KARLOVŠKA C.,1,17
012_PLAZA DUQUESA DE ALBA,25,5
00067 - MUSEUM,14,8
UNIVERSITETSSJUKHUSET,20,10
LIDL-LITIJSKA CESTA,1,19
241_PLAZA NUEVA,19,0
RATHDOWN ROAD,5,35
28001 - FONTAINES S/S - QUAI SIMON,15,5
10075 - GABRIEL PÉRI,1,9
143_AVDA. MENENDEZ PIDAL,8,22
4006 - PHILIPPE DE LASSALLE,0,23
6017 - LAFAYETTE / INKERMANN,12,18
060_PLAZA DE LA CONCORDIA,9,9
2036 - PLACE ANTONIN GOURJU,26,2
115_C/ DR. VICENTE ZARAGOZA,5,11
208_AVENIDA DE GRECIA,15,0
168_AVENIDA RAMÓN Y CAJAL,7,11
5103-RUE GEORGES,0,15
00188 - MURET - LAFAGE,16,4
007-BARILLERIE,9,20
130 - ROND POINT DU SOUVERAIN,17,5
039 - HOTEL DES MONNAIES / MUNTHOTEL,11,14
00118 - PLACE DU BUSCA,9,8
06 - PORTE JEUNE,3,15
215_CALLE_MUSICO_AYLLON_ESQ_CALLE_FRANCISCO_DOLZ,1,14
169_AVENIDA RAMÓN Y CAJAL,4,16
1230-ROOSEVELT - REFORMES,0,0
00178 - BRUNAUD - PLANA,0,20
027-GUIST'HAU NORD,1,14
206_AVENIDA KANSAS CITY,6,9
00041 - SAINT-AUBIN - CAMICHEL,2,19
00090 - LASCROSSES - PLACE ARNAUD BERNARD,2,23
066_CALLE ARROYO,1,18
061_PLAZA DEL MUSEO,10,9
00068 - METRO - PALAIS DE JUSTICE,4,12
086 - MAISON COMMUNALE DE JETTE GEMEENTEHUIS,11,14
LILLESTRØM STASJON,0,20
6002 - PORTE DES ENFANTS DU RHÔNE,35,4
345 - 3 TILLEULS,13,5
012 - PLACE SAINT-NICOLAS,8,7
00147 - CHAUSSAS - DAUDET,3,16
00006 - LES 2 RIVES (CB),8,8
211_AVENIDA DE ALEMANIA,11,4
041_PLAZA CALDERÓN DE LA BARCA,2,12
067 - PARC CINQUANTENAIRE / JUBELPARK,21,14
292 - RITTWEGER,8,12
307 - KAREL BOGAERT,11,9
NORTH CIRCULAR ROAD (O'CONNELL'S),4,26
6032 - PRÉFECTURE / SARRAIL,2,18
058_CALLE REGINA,7,7
8055 - SAINT-ROMAIN / BERLIET,9,10
25-PANORAMA,0,0
ŠPORTNI CENTER STOŽICE,13,13
HANOVER QUAY,11,29
204_AVDA_GENERAL_AVILES,4,16
148_CALLE THARSIS,4,16
ŠPICA,1,17
富山駅南② TOYAMA STATION SOUTH 2,9,10
017 - GARE DE JAMBES,6,9
261_PZA_XUQUER_ESQ_VINALOPO,1,18
00019 - COMMANDERIE - CHALNOT,1,17
27 - MAIRIE,4,11
118_PLAZA DE CUBA,9,11
122_CALLE ENRAMADILLA,0,17
10016 - PLACE DE LA PAIX,3,14
7033 - SAINT-LUC / SAINT-JOSEPH,27,5
1345 - SAINT CHARLES LECLERC ZATTARA,0,0
00109 - METRO - CANAL DU MIDI,13,12
192_AVENIDA DE ALVAR NUÑEZ,13,5
359 - JCDECAUX,16,3
344 - BETHLEEM,7,13
101_PRADO DE SAN SEBASTIAN,32,3
7041 - DOMER / CHEVREUL,8,4
3090 - VINATIER,9,11
8008 - BEAUVISAGE / PRESSENSÉ,12,5
17- SAINT CLEMENT,8,7
00153 - BOURGES MAUNOURY,7,10
3071 - BIOPARC,0,20
5006 - QUAI ROMAIN ROLLAND,14,3
015-ARISTIDE BRIAND,4,13
067_CALLE LEONARDO DA VINCI,2,18
268 - DUNANT,10,10
10014 - LAURENT BONNEVAY / ASTROBALLE,0,28
111 - ETANGS MELLAERTS VIJVERS,16,9
